horsepower,mpg,cylinders,displacement,weight,acceleration,model year,origin,car name
130.0,18.0,8,307.0,3504,12.0,70,1.0,chevrolet chevelle malibu
165.0,15.0,8,350.0,3693,11.5,70,1.0,buick skylark 320
150.0,18.0,8,318.0,3436,11.0,70,1.0,plymouth satellite
150.0,16.0,8,304.0,3433,12.0,70,1.0,amc rebel sst
140.0,17.0,8,302.0,3449,10.5,70,1.0,ford torino
198.0,15.0,8,429.0,4341,10.0,70,1.0,ford galaxie 500
220.0,14.0,8,454.0,4354,9.0,70,1.0,chevrolet impala
215.0,14.0,8,440.0,4312,8.5,70,1.0,plymouth fury iii
225.0,14.0,8,455.0,4425,10.0,70,1.0,pontiac catalina
190.0,15.0,8,390.0,3850,8.5,70,1.0,amc ambassador dpl
170.0,15.0,8,383.0,3563,10.0,70,1.0,dodge challenger se
160.0,14.0,8,340.0,3609,8.0,70,1.0,plymouth 'cuda 340
150.0,15.0,8,400.0,3761,9.5,70,1.0,chevrolet monte carlo
225.0,14.0,8,455.0,3086,10.0,70,1.0,buick estate wagon (sw)
95.0,24.0,4,113.0,2372,15.0,70,3.0,toyota corona mark ii
95.0,22.0,6,198.0,2833,15.5,70,1.0,plymouth duster
104.26701570680628,18.0,6,199.0,2774,15.5,70,1.0,amc hornet
85.0,21.0,6,200.0,2587,16.0,70,1.0,ford maverick
88.0,27.0,4,97.0,2130,14.5,70,3.0,datsun pl510
46.0,26.0,4,97.0,1835,20.5,70,2.0,volkswagen 1131 deluxe sedan
87.0,25.0,4,110.0,2672,17.5,70,2.0,peugeot 504
90.0,24.0,4,107.0,2430,14.5,70,2.0,audi 100 ls
95.0,25.0,4,104.0,2375,17.5,70,2.0,saab 99e
113.0,26.0,4,121.0,2234,12.5,70,2.0,bmw 2002
90.0,21.0,6,199.0,2648,15.0,70,1.0,amc gremlin
215.0,10.0,8,360.0,4615,14.0,70,1.0,ford f250
200.0,10.0,8,307.0,4376,15.0,70,1.0,chevy c20
210.0,11.0,8,318.0,4382,13.5,70,1.0,dodge d200
193.0,9.0,8,304.0,4732,18.5,70,1.0,hi 1200d
88.0,27.0,4,97.0,2130,14.5,71,3.0,datsun pl510
90.0,28.0,4,140.0,2264,15.5,71,1.0,chevrolet vega 2300
95.0,25.0,4,113.0,2228,14.0,71,3.0,toyota corona
104.26701570680628,25.0,4,98.0,2046,19.0,71,1.0,ford pinto
100.0,19.0,6,232.0,2634,13.0,71,1.0,amc gremlin
105.0,16.0,6,225.0,3439,15.5,71,1.0,plymouth satellite custom
100.0,17.0,6,250.0,3329,15.5,71,1.0,chevrolet chevelle malibu
88.0,19.0,6,250.0,3302,15.5,71,1.0,ford torino 500
100.0,18.0,6,232.0,3288,15.5,71,1.0,amc matador
165.0,14.0,8,350.0,4209,12.0,71,1.0,chevrolet impala
175.0,14.0,8,400.0,4464,11.5,71,1.0,pontiac catalina brougham
153.0,14.0,8,351.0,4154,13.5,71,1.0,ford galaxie 500
150.0,14.0,8,318.0,4096,13.0,71,1.0,plymouth fury iii
180.0,12.0,8,383.0,4955,11.5,71,1.0,dodge monaco (sw)
170.0,13.0,8,400.0,4746,12.0,71,1.0,ford country squire (sw)
175.0,13.0,8,400.0,5140,12.0,71,1.0,pontiac safari (sw)
104.26701570680628,18.0,6,258.0,2962,13.5,71,1.0,amc hornet sportabout (sw)
72.0,22.0,4,140.0,2408,19.0,71,1.0,chevrolet vega (sw)
100.0,19.0,6,250.0,3282,15.0,71,1.0,pontiac firebird
88.0,18.0,6,250.0,3139,14.5,71,1.0,ford mustang
86.0,23.0,4,122.0,2220,14.0,71,1.0,mercury capri 2000
90.0,28.0,4,116.0,2123,14.0,71,2.0,opel 1900
